método;cenário;tamanho;trocas;tempo
bubble;Aleatórios;1000000;249656445773;2621901,179000
bubble;Aleatórios;100000;2487623102;24502,304000
bubble;Aleatórios;10000;25127766;176,899000
bubble;Aleatórios;1000;242285;1,639000
bubble;Aleatórios;100;2320;0,022000
bubble;Aleatórios;1250000;390361807907;4037722,913000
bubble;Aleatórios;1500000;562524061196;5850463,430000
bubble;Aleatórios;15000;56655180;436,918000
bubble;Aleatórios;2000000;1000596643362;10214543,549000
bubble;Aleatórios;200000;10017382493;103945,307000
bubble;Aleatórios;2000;1020378;6,485000
bubble;Aleatórios;200;10501;0,115000
bubble;Aleatórios;30000;223898990;2018,678000
bubble;Aleatórios;500000;62398054464;619788,252000
bubble;Aleatórios;50000;626213038;5965,708000
bubble;Aleatórios;5000;6229620;41,201000
bubble;Aleatórios;500;63916;0,445000
bubble;Aleatórios;750000;140461175701;1397801,050000
bubble;Aleatórios;75000;1405529316;13667,993000
bubble;Aleatórios;7500;14135727;95,414000
bubble;Ordenados;1000000;0;878072,477000
bubble;Ordenados;100000;0;9184,029000
bubble;Ordenados;10000;0;75,908000
bubble;Ordenados;1000;0;0,758000
bubble;Ordenados;100;0;0,009000
bubble;Ordenados;1250000;0;1531357,597000
bubble;Ordenados;1500000;0;2138878,319000
bubble;Ordenados;15000;0;168,120000
bubble;Ordenados;2000000;0;4307577,539000
bubble;Ordenados;200000;0;34967,447000
bubble;Ordenados;2000;0;2,981000
bubble;Ordenados;200;0;0,032000
bubble;Ordenados;30000;0;666,451000
bubble;Ordenados;500000;0;264457,696000
bubble;Ordenados;50000;0;1837,641000
bubble;Ordenados;5000;0;18,489000
bubble;Ordenados;500;0;0,287000
bubble;Ordenados;750000;0;630452,026000
bubble;Ordenados;75000;0;4208,086000
bubble;Ordenados;7500;0;43,810000
bubble;Decrescentes;1000000;499898945886;2115306,255000
bubble;Decrescentes;100000;4998943436;21116,250000
bubble;Decrescentes;10000;49984816;208,365000
bubble;Decrescentes;1000;499398;2,096000
bubble;Decrescentes;100;4950;0,036000
bubble;Decrescentes;1250000;781092263392;3280903,456000
bubble;Decrescentes;1500000;1124772934347;4737851,717000
bubble;Decrescentes;15000;112470052;470,166000
bubble;Decrescentes;2000000;1999596732062;8444420,377000
bubble;Decrescentes;200000;19995875941;84976,802000
bubble;Decrescentes;2000;1998603;9,070000
bubble;Decrescentes;200;19897;0,082000
bubble;Decrescentes;30000;449894311;1886,865000
bubble;Decrescentes;500000;124974616679;519562,448000
bubble;Decrescentes;50000;1249723614;5151,513000
bubble;Decrescentes;5000;12495004;51,703000
bubble;Decrescentes;500;124729;0,525000
bubble;Decrescentes;750000;281193046742;1193145,270000
bubble;Decrescentes;75000;2811896825;11692,303000
bubble;Decrescentes;7500;28115568;119,262000
bubble;ParcialmenteOrdenados;1000000;605648;1047324,321000
bubble;ParcialmenteOrdenados;100000;555524;7352,307000
bubble;ParcialmenteOrdenados;10000;189215;90,639000
bubble;ParcialmenteOrdenados;1000;14432;0,848000
bubble;ParcialmenteOrdenados;100;1412;0,017000
bubble;ParcialmenteOrdenados;1250000;542933;1492589,480000
